---------------------------------------------------------------------------------------------------
Date: 9/20/2026 -- 08:07:15 (uptime: 0d, 00h 00m 57s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 11548
decoder.bytes                                                | Total                     | 18829589
decoder.ipv4                                                 | Total                     | 6097
decoder.ipv6                                                 | Total                     | 5451
decoder.ethernet                                             | Total                     | 11548
decoder.tcp                                                  | Total                     | 10691
tcp.syn                                                      | Total                     | 240
tcp.synack                                                   | Total                     | 240
tcp.rst                                                      | Total                     | 343
decoder.udp                                                  | Total                     | 854
decoder.icmpv6                                               | Total                     | 3
decoder.avg_pkt_size                                         | Total                     | 1630
decoder.max_pkt_size                                         | Total                     | 64854
flow.total                                                   | Total                     | 665
flow.tcp                                                     | Total                     | 240
flow.udp                                                     | Total                     | 423
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
decoder.event.ipv6.zero_len_padn                             | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 218
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 242
flow.wrk.flows_injected                                      | Total                     | 218
tcp.sessions                                                 | Total                     | 218
tcp.ssn_from_pool                                            | Total                     | 218
tcp.invalid_checksum                                         | Total                     | 604
tcp.segment_from_pool                                        | Total                     | 4634
detect.alert                                                 | Total                     | 642
app_layer.flow.tls                                           | Total                     | 194
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 422
app_layer.tx.dns_udp                                         | Total                     | 852
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 24
flow.end.state.established                                   | Total                     | 423
flow.end.state.closed                                        | Total                     | 218
flow.end.tcp_state.closed                                    | Total                     | 218
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 447
flow.recycler.queue_max                                      | Total                     | 372
tcp.memuse                                                   | Total                     | 1245184
tcp.reassembly_memuse                                        | Total                     | 238000
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
